timestamp,norm_min_cpu,norm_max_cpu,norm_avg
1/2/2017 5:40,0.0663,0.1501,0.1082
1/2/2017 5:45,0.0837,0.1480,0.1159
1/2/2017 5:50,0.0770,0.1275,0.1023
1/2/2017 5:55,0.0731,0.1486,0.1109
1/2/2017 6:00,0.1240,0.1392,0.1316
1/2/2017 6:05,0.0959,0.1384,0.1171
1/2/2017 6:10,0.0914,0.1461,0.1188
1/2/2017 6:15,0.0976,0.1491,0.1233
1/2/2017 6:20,0.0775,0.1412,0.1094
1/2/2017 6:25,0.0963,0.2015,0.1489
1/2/2017 6:30,0.1327,0.1814,0.1571
1/2/2017 6:35,0.1291,0.1751,0.1521
1/2/2017 6:40,0.1111,0.1627,0.1369
1/2/2017 6:45,0.0973,0.1477,0.1225
1/2/2017 6:50,0.1110,0.1435,0.1273
1/2/2017 6:55,0.1008,0.1688,0.1348
1/2/2017 7:00,0.1108,0.1719,0.1413
1/2/2017 7:05,0.1010,0.1660,0.1335
1/2/2017 7:10,0.0888,0.1612,0.1250
1/2/2017 7:15,0.0873,0.1572,0.1222
1/2/2017 7:20,0.0874,0.1553,0.1214
1/2/2017 7:25,0.0946,0.1943,0.1445
1/2/2017 7:30,0.0901,0.1632,0.1266
1/2/2017 7:35,0.0899,0.1650,0.1275
1/2/2017 7:40,0.0949,0.1697,0.1323
1/2/2017 7:45,0.0927,0.1483,0.1205
1/2/2017 7:50,0.0892,0.1448,0.1170
1/2/2017 7:55,0.0965,0.1672,0.1319
1/2/2017 8:00,0.0942,0.1655,0.1298
1/2/2017 8:05,0.1209,0.1779,0.1494
1/2/2017 8:10,0.1520,0.1955,0.1738
1/2/2017 8:15,0.1300,0.1930,0.1615
1/2/2017 8:20,0.1005,0.1803,0.1404
1/2/2017 8:25,0.1100,0.2167,0.1634
1/2/2017 8:30,0.1178,0.1944,0.1561
1/2/2017 8:35,0.1093,0.1937,0.1515
1/2/2017 8:40,0.1057,0.2134,0.1596
1/2/2017 8:45,0.1178,0.2002,0.1590
1/2/2017 8:50,0.1103,0.1979,0.1541
1/2/2017 8:55,0.1108,0.2128,0.1618
1/2/2017 9:00,0.1150,0.1951,0.1550
